label,s
load_calibration,0.003259
load_whisper,9.830232
load_yolo,0.089871
load_sam,0.700885
load_slm,5.897851
whisper_transcribe,2.301668
whisper_transcribe,2.009212
whisper_transcribe,2.234543
SLM_extract_intent_and_object,1.364597
SLM_extract_intent_and_object,1.469645
SLM_extract_intent_and_object,2.282189
yolo_detection,0.927849
yolo_detection,0.022408
yolo_detection,0.022072
yolo_detection,0.022104
yolo_detection,0.025914
yolo_detection,0.019683
yolo_detection,0.019422
yolo_detection,0.020004
yolo_detection,0.019721
yolo_detection,0.019612
yolo_detection,0.019576
yolo_detection,0.020585
yolo_detection,0.021191
yolo_detection,0.021963
yolo_detection,0.021613
yolo_detection,0.027677
yolo_detection,0.029775
yolo_detection,0.023508
yolo_detection,0.020312
yolo_detection,0.020628
yolo_detection,0.021059
yolo_detection,0.020097
yolo_detection,0.019515
yolo_detection,0.019889
yolo_detection,0.041037
yolo_detection,0.036398
yolo_detection,0.019653
yolo_detection,0.020267
yolo_detection,0.022248
yolo_detection,0.022538
yolo_detection,0.023780
yolo_detection,0.022538
yolo_detection,0.019896
yolo_detection,0.019467
yolo_detection,0.020395
yolo_detection,0.019107
yolo_detection,0.020110
yolo_detection,0.019220
yolo_detection,0.020414
yolo_detection,0.019735
yolo_detection,0.019921
yolo_detection,0.019455
yolo_detection,0.020724
yolo_detection,0.019427
yolo_detection,0.020982
yolo_detection,0.019803
yolo_detection,0.019882
yolo_detection,0.019881
yolo_detection,0.019911
yolo_detection,0.020022
yolo_detection,0.020512
yolo_detection,0.019890
yolo_detection,0.020008
yolo_detection,0.020181
yolo_detection,0.020098
yolo_detection,0.020030
yolo_detection,0.021655
yolo_detection,0.021884
yolo_detection,0.021855
yolo_detection,0.022148
yolo_detection,0.022247
yolo_detection,0.021746
yolo_detection,0.022254
yolo_detection,0.032178
yolo_detection,0.030074
yolo_detection,0.026252
yolo_detection,0.023749
yolo_detection,0.038143
yolo_detection,0.037804
yolo_detection,0.034451
yolo_detection,0.036471
yolo_detection,0.033844
yolo_detection,0.038072
yolo_detection,0.032178
yolo_detection,0.026360
yolo_detection,0.032403
yolo_detection,0.035580
yolo_detection,0.038367
yolo_detection,0.034959
yolo_detection,0.034119
yolo_detection,0.027983
yolo_detection,0.025000
yolo_detection,0.034601
yolo_detection,0.038917
yolo_detection,0.040475
yolo_detection,0.038612
yolo_detection,0.037128
yolo_detection,0.040414
yolo_detection,0.034662
yolo_detection,0.029690
yolo_detection,0.026756
yolo_detection,0.024499
yolo_detection,0.022584
yolo_detection,0.021505
yolo_detection,0.020376
yolo_detection,0.020155
yolo_detection,0.017787
yolo_detection,0.019391
yolo_detection,0.017871
yolo_detection,0.019379
yolo_detection,0.019919
yolo_detection,0.019549
yolo_detection,0.019440
yolo_detection,0.019483
yolo_detection,0.019569
yolo_detection,0.019337
yolo_detection,0.019704
yolo_detection,0.020415
yolo_detection,0.020809
yolo_detection,0.020836
yolo_detection,0.022041
yolo_detection,0.021288
yolo_detection,0.022092
yolo_detection,0.022801
yolo_detection,0.023490
yolo_detection,0.023628
yolo_detection,0.023194
yolo_detection,0.022233
yolo_detection,0.021693
yolo_detection,0.023275
yolo_detection,0.022367
yolo_detection,0.022151
yolo_detection,0.022745
yolo_detection,0.022800
yolo_detection,0.022702
yolo_detection,0.023036
yolo_detection,0.023089
yolo_detection,0.022485
yolo_detection,0.022696
yolo_detection,0.022363
yolo_detection,0.022319
yolo_detection,0.021879
yolo_detection,0.022815
yolo_detection,0.020885
yolo_detection,0.023862
yolo_detection,0.023152
yolo_detection,0.023169
yolo_detection,0.022583
yolo_detection,0.022169
yolo_detection,0.022592
yolo_detection,0.022320
yolo_detection,0.020541
yolo_detection,0.023178
yolo_detection,0.023582
yolo_detection,0.022785
yolo_detection,0.022420
yolo_detection,0.022514
yolo_detection,0.021278
yolo_detection,0.021118
yolo_detection,0.020757
yolo_detection,0.021347
