label,s
load_calibration,0.002429
load_whisper,10.707969
load_yolo,0.154912
load_sam,0.784772
load_slm,9.970417
whisper_transcribe,2.277807
SLM_extract_intent_and_object,1.529894
yolo_detection,1.447598
yolo_detection,0.032259
yolo_detection,0.033232
yolo_detection,0.021034
yolo_detection,0.021291
yolo_detection,0.025209
yolo_detection,0.034505
yolo_detection,0.039728
yolo_detection,0.044885
yolo_detection,0.045076
yolo_detection,0.045488
yolo_detection,0.046249
yolo_detection,0.046624
yolo_detection,0.045697
yolo_detection,0.049543
yolo_detection,0.047117
yolo_detection,0.026107
yolo_detection,0.035542
yolo_detection,0.037493
yolo_detection,0.050023
yolo_detection,0.030475
yolo_detection,0.036095
yolo_detection,0.043003
yolo_detection,0.034367
yolo_detection,0.035579
yolo_detection,0.035749
yolo_detection,0.046541
yolo_detection,0.052517
yolo_detection,0.045167
yolo_detection,0.041428
yolo_detection,0.030390
yolo_detection,0.031622
yolo_detection,0.037848
yolo_detection,0.038509
yolo_detection,0.036945
yolo_detection,0.035320
yolo_detection,0.058457
yolo_detection,0.038759
yolo_detection,0.040931
yolo_detection,0.048413
yolo_detection,0.046111
yolo_detection,0.049675
yolo_detection,0.048970
yolo_detection,0.031948
yolo_detection,0.035983
yolo_detection,0.034512
yolo_detection,0.038926
yolo_detection,0.034899
yolo_detection,0.035173
yolo_detection,0.036605
yolo_detection,0.035378
yolo_detection,0.035399
yolo_detection,0.037329
yolo_detection,0.039859
yolo_detection,0.038508
yolo_detection,0.036697
yolo_detection,0.037475
yolo_detection,0.034360
yolo_detection,0.035312
yolo_detection,0.029827
yolo_detection,0.033381
yolo_detection,0.031728
yolo_detection,0.042951
yolo_detection,0.035015
yolo_detection,0.031068
yolo_detection,0.042806
yolo_detection,0.037003
yolo_detection,0.033290
yolo_detection,0.034933
yolo_detection,0.047626
yolo_detection,0.029554
yolo_detection,0.032537
yolo_detection,0.040269
yolo_detection,0.045540
yolo_detection,0.049690
yolo_detection,0.045729
yolo_detection,0.047437
yolo_detection,0.045219
yolo_detection,0.049537
yolo_detection,0.045738
yolo_detection,0.045009
yolo_detection,0.045168
yolo_detection,0.045605
yolo_detection,0.032195
yolo_detection,0.046304
yolo_detection,0.050357
yolo_detection,0.045779
yolo_detection,0.045088
yolo_detection,0.045158
yolo_detection,0.045164
yolo_detection,0.045077
yolo_detection,0.045237
yolo_detection,0.045032
yolo_detection,0.045656
yolo_detection,0.045239
yolo_detection,0.045413
yolo_detection,0.045065
yolo_detection,0.046310
yolo_detection,0.045211
yolo_detection,0.047732
yolo_detection,0.045082
yolo_detection,0.042407
yolo_detection,0.039751
yolo_detection,0.044713
yolo_detection,0.045675
yolo_detection,0.051467
yolo_detection,0.048145
yolo_detection,0.049009
yolo_detection,0.050786
yolo_detection,0.045016
yolo_detection,0.050075
yolo_detection,0.049000
yolo_detection,0.046025
yolo_detection,0.048198
yolo_detection,0.045638
yolo_detection,0.045112
yolo_detection,0.045009
yolo_detection,0.044817
yolo_detection,0.044908
yolo_detection,0.044838
yolo_detection,0.043627
yolo_detection,0.042424
yolo_detection,0.042781
yolo_detection,0.044776
yolo_detection,0.044936
yolo_detection,0.046061
yolo_detection,0.045862
yolo_detection,0.045060
yolo_detection,0.045433
yolo_detection,0.045186
yolo_detection,0.044865
yolo_detection,0.045070
yolo_detection,0.045278
yolo_detection,0.045196
yolo_detection,0.044893
yolo_detection,0.050592
yolo_detection,0.046158
yolo_detection,0.045493
yolo_detection,0.045470
yolo_detection,0.045191
yolo_detection,0.046477
yolo_detection,0.045396
yolo_detection,0.045224
yolo_detection,0.047771
yolo_detection,0.045177
yolo_detection,0.046017
yolo_detection,0.045310
yolo_detection,0.042063
yolo_detection,0.035907
yolo_detection,0.024581
yolo_detection,0.026074
yolo_detection,0.038154
yolo_detection,0.042927
yolo_detection,0.050325
yolo_detection,0.049217
yolo_detection,0.045850
yolo_detection,0.035374
yolo_detection,0.031999
yolo_detection,0.030311
yolo_detection,0.037379
yolo_detection,0.035021
yolo_detection,0.035526
yolo_detection,0.043009
yolo_detection,0.049687
yolo_detection,0.048904
yolo_detection,0.045894
yolo_detection,0.055372
yolo_detection,0.052149
yolo_detection,0.046505
yolo_detection,0.052876
yolo_detection,0.046090
yolo_detection,0.045853
yolo_detection,0.044715
yolo_detection,0.045369
yolo_detection,0.047727
yolo_detection,0.049091
yolo_detection,0.047731
yolo_detection,0.044829
yolo_detection,0.049961
yolo_detection,0.055809
yolo_detection,0.049723
yolo_detection,0.045677
yolo_detection,0.049119
yolo_detection,0.048401
yolo_detection,0.045608
yolo_detection,0.045089
yolo_detection,0.044642
yolo_detection,0.045237
yolo_detection,0.045391
yolo_detection,0.045013
yolo_detection,0.044699
yolo_detection,0.044552
yolo_detection,0.044871
yolo_detection,0.045226
yolo_detection,0.045376
yolo_detection,0.045119
yolo_detection,0.045162
yolo_detection,0.044928
yolo_detection,0.045223
yolo_detection,0.045615
yolo_detection,0.045510
yolo_detection,0.045334
yolo_detection,0.048554
yolo_detection,0.054178
yolo_detection,0.043109
yolo_detection,0.050507
yolo_detection,0.045416
yolo_detection,0.042824
yolo_detection,0.041866
yolo_detection,0.043062
yolo_detection,0.045069
yolo_detection,0.044990
yolo_detection,0.041525
yolo_detection,0.042690
yolo_detection,0.045253
yolo_detection,0.045117
yolo_detection,0.050193
yolo_detection,0.045984
yolo_detection,0.048167
yolo_detection,0.049907
yolo_detection,0.044680
yolo_detection,0.044670
yolo_detection,0.051014
yolo_detection,0.044316
yolo_detection,0.043349
yolo_detection,0.044494
yolo_detection,0.044861
yolo_detection,0.051069
yolo_detection,0.043906
yolo_detection,0.049627
yolo_detection,0.048233
yolo_detection,0.050622
yolo_detection,0.045787
yolo_detection,0.041270
yolo_detection,0.050087
yolo_detection,0.045717
yolo_detection,0.044843
yolo_detection,0.048356
yolo_detection,0.044977
yolo_detection,0.044816
yolo_detection,0.044761
yolo_detection,0.046304
yolo_detection,0.052662
yolo_detection,0.051366
yolo_detection,0.046178
yolo_detection,0.052498
yolo_detection,0.047185
yolo_detection,0.045717
yolo_detection,0.045110
yolo_detection,0.045728
yolo_detection,0.048754
yolo_detection,0.046329
yolo_detection,0.049882
yolo_detection,0.045503
yolo_detection,0.044245
yolo_detection,0.051328
yolo_detection,0.046405
yolo_detection,0.049659
yolo_detection,0.050276
yolo_detection,0.047811
yolo_detection,0.047761
yolo_detection,0.052333
yolo_detection,0.050485
yolo_detection,0.047939
yolo_detection,0.050482
yolo_detection,0.046279
yolo_detection,0.045104
yolo_detection,0.046291
yolo_detection,0.045348
yolo_detection,0.048548
yolo_detection,0.045366
yolo_detection,0.050225
yolo_detection,0.045243
yolo_detection,0.051600
yolo_detection,0.050352
yolo_detection,0.045819
yolo_detection,0.045071
yolo_detection,0.045570
yolo_detection,0.046556
yolo_detection,0.051586
yolo_detection,0.035364
yolo_detection,0.032961
yolo_detection,0.040319
yolo_detection,0.041689
yolo_detection,0.036553
yolo_detection,0.033768
yolo_detection,0.038098
yolo_detection,0.032363
yolo_detection,0.034093
yolo_detection,0.034871
yolo_detection,0.033733
yolo_detection,0.032603
yolo_detection,0.036612
yolo_detection,0.033950
yolo_detection,0.032844
yolo_detection,0.031998
yolo_detection,0.032626
yolo_detection,0.032207
yolo_detection,0.032422
yolo_detection,0.037854
yolo_detection,0.030596
yolo_detection,0.031220
yolo_detection,0.035763
yolo_detection,0.034285
yolo_detection,0.032743
yolo_detection,0.033099
yolo_detection,0.036293
yolo_detection,0.040742
yolo_detection,0.032387
yolo_detection,0.045620
yolo_detection,0.036717
yolo_detection,0.032734
yolo_detection,0.038815
yolo_detection,0.041347
yolo_detection,0.042004
yolo_detection,0.048690
yolo_detection,0.049380
yolo_detection,0.048347
yolo_detection,0.045620
yolo_detection,0.044691
yolo_detection,0.045001
yolo_detection,0.044686
yolo_detection,0.045523
yolo_detection,0.045480
yolo_detection,0.045538
yolo_detection,0.045689
yolo_detection,0.047002
yolo_detection,0.047066
yolo_detection,0.041190
yolo_detection,0.034374
yolo_detection,0.032153
yolo_detection,0.031311
yolo_detection,0.034988
yolo_detection,0.034671
yolo_detection,0.031874
yolo_detection,0.031831
yolo_detection,0.032888
yolo_detection,0.030531
yolo_detection,0.030971
yolo_detection,0.032877
yolo_detection,0.035299
yolo_detection,0.034118
yolo_detection,0.030529
yolo_detection,0.039169
yolo_detection,0.035795
yolo_detection,0.036075
yolo_detection,0.034520
yolo_detection,0.038800
yolo_detection,0.038217
yolo_detection,0.039388
yolo_detection,0.031536
yolo_detection,0.033345
yolo_detection,0.031561
yolo_detection,0.034127
yolo_detection,0.033798
yolo_detection,0.033176
yolo_detection,0.035100
yolo_detection,0.035267
yolo_detection,0.035064
yolo_detection,0.034581
yolo_detection,0.038331
yolo_detection,0.034974
yolo_detection,0.040031
yolo_detection,0.038250
yolo_detection,0.033278
yolo_detection,0.051437
yolo_detection,0.039733
yolo_detection,0.034619
yolo_detection,0.033809
yolo_detection,0.048825
yolo_detection,0.040964
yolo_detection,0.051866
yolo_detection,0.051383
yolo_detection,0.044282
yolo_detection,0.045529
yolo_detection,0.045457
yolo_detection,0.048109
yolo_detection,0.046975
yolo_detection,0.047192
yolo_detection,0.045501
yolo_detection,0.058464
yolo_detection,0.034155
yolo_detection,0.030535
yolo_detection,0.033231
yolo_detection,0.033866
yolo_detection,0.042494
yolo_detection,0.048004
yolo_detection,0.044645
yolo_detection,0.047491
yolo_detection,0.046799
yolo_detection,0.045453
yolo_detection,0.045604
yolo_detection,0.044863
yolo_detection,0.045414
yolo_detection,0.049819
yolo_detection,0.045735
yolo_detection,0.050408
yolo_detection,0.045584
yolo_detection,0.045539
yolo_detection,0.049625
yolo_detection,0.055371
yolo_detection,0.044447
yolo_detection,0.045204
yolo_detection,0.045144
yolo_detection,0.044605
yolo_detection,0.045447
yolo_detection,0.045238
yolo_detection,0.046070
yolo_detection,0.052823
yolo_detection,0.050595
yolo_detection,0.048518
yolo_detection,0.048635
yolo_detection,0.045871
yolo_detection,0.045111
yolo_detection,0.053169
yolo_detection,0.050424
yolo_detection,0.045367
yolo_detection,0.044776
yolo_detection,0.045128
yolo_detection,0.045099
yolo_detection,0.044573
yolo_detection,0.044798
yolo_detection,0.045397
yolo_detection,0.045370
yolo_detection,0.045269
yolo_detection,0.044732
yolo_detection,0.045225
yolo_detection,0.045747
yolo_detection,0.045463
yolo_detection,0.055334
yolo_detection,0.048411
yolo_detection,0.049582
yolo_detection,0.045633
yolo_detection,0.051435
yolo_detection,0.045134
yolo_detection,0.048441
yolo_detection,0.048534
yolo_detection,0.045580
yolo_detection,0.050751
yolo_detection,0.044331
yolo_detection,0.046299
yolo_detection,0.045318
yolo_detection,0.049094
yolo_detection,0.048086
yolo_detection,0.047272
yolo_detection,0.047872
yolo_detection,0.047161
yolo_detection,0.033653
yolo_detection,0.031520
yolo_detection,0.027831
yolo_detection,0.028981
yolo_detection,0.031128
yolo_detection,0.030384
yolo_detection,0.031235
yolo_detection,0.029757
yolo_detection,0.034588
yolo_detection,0.038180
yolo_detection,0.040920
yolo_detection,0.037703
yolo_detection,0.036222
yolo_detection,0.050869
yolo_detection,0.044816
yolo_detection,0.045398
yolo_detection,0.042133
yolo_detection,0.049361
yolo_detection,0.050734
yolo_detection,0.051792
yolo_detection,0.045925
yolo_detection,0.045288
yolo_detection,0.047521
yolo_detection,0.044766
yolo_detection,0.047246
yolo_detection,0.030356
yolo_detection,0.036539
yolo_detection,0.048194
yolo_detection,0.054409
yolo_detection,0.052991
yolo_detection,0.045887
yolo_detection,0.052662
yolo_detection,0.046465
yolo_detection,0.045485
yolo_detection,0.031550
yolo_detection,0.041730
yolo_detection,0.040834
yolo_detection,0.047041
yolo_detection,0.045602
yolo_detection,0.039718
yolo_detection,0.045929
yolo_detection,0.048828
yolo_detection,0.047622
yolo_detection,0.045603
yolo_detection,0.051784
yolo_detection,0.048413
yolo_detection,0.045499
yolo_detection,0.053270
yolo_detection,0.045821
yolo_detection,0.045292
yolo_detection,0.048017
yolo_detection,0.051374
yolo_detection,0.045642
yolo_detection,0.045310
yolo_detection,0.047924
yolo_detection,0.045505
yolo_detection,0.037892
yolo_detection,0.041248
yolo_detection,0.047283
yolo_detection,0.051004
yolo_detection,0.047147
yolo_detection,0.045544
yolo_detection,0.048255
yolo_detection,0.050712
yolo_detection,0.048712
yolo_detection,0.051344
yolo_detection,0.045665
yolo_detection,0.047412
yolo_detection,0.045190
