epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81528,1.42084,5.17726,1.35894,0,0,0,0,1.33833,4.64796,1.25398,8.88e-06,8.88e-06,8.88e-06
2,8.99851,1.315,5.0557,1.3018,0,0,0,0,1.20783,4.59896,1.15603,1.84964e-05,1.84964e-05,1.84964e-05
3,11.8835,1.21628,4.98186,1.24316,0,0,0,0,1.07675,4.56514,1.06666,2.77171e-05,2.77171e-05,2.77171e-05
4,14.7086,1.08067,4.80735,1.19639,0,0,0,0,0.97786,4.5214,1.00634,3.65423e-05,3.65423e-05,3.65423e-05
5,17.6393,1.06072,4.60623,1.15834,0,0,0,0,0.90104,4.43715,0.9692,4.49719e-05,4.49719e-05,4.49719e-05
6,20.5137,1.06195,4.37243,1.1394,0.23333,0.03509,0.13069,0.10662,0.89754,4.26444,0.95869,5.30058e-05,5.30058e-05,5.30058e-05
7,23.1357,1.08449,4.0972,1.12487,0.22576,0.41784,0.26808,0.21587,0.91846,3.97795,0.96193,6.06442e-05,6.06442e-05,6.06442e-05
8,25.9105,1.14481,3.7888,1.21961,0.14596,0.56685,0.30394,0.24066,0.94247,3.55801,0.97351,6.78869e-05,6.78869e-05,6.78869e-05
9,28.5531,1.10031,3.47655,1.20156,0.46906,0.32174,0.33525,0.25727,0.96957,3.03754,0.99666,7.47341e-05,7.47341e-05,7.47341e-05
10,31.6964,1.08553,3.31224,1.24459,0.64012,0.41748,0.48946,0.38138,0.98402,2.67938,1.01301,8.11856e-05,8.11856e-05,8.11856e-05
11,34.2411,1.10565,2.86998,1.21316,0.64658,0.44721,0.58071,0.45469,1.01262,2.32355,1.05953,8.72416e-05,8.72416e-05,8.72416e-05
12,37.0733,1.07015,2.65812,1.21976,0.75917,0.4834,0.69872,0.54897,1.0487,1.91288,1.11487,8.68242e-05,8.68242e-05,8.68242e-05
13,40.0043,1.02105,2.50919,1.16645,0.78925,0.53862,0.74151,0.58312,1.03132,1.69876,1.10528,8.46264e-05,8.46264e-05,8.46264e-05
14,42.7742,1.03957,2.35028,1.1879,0.88862,0.55767,0.75947,0.59133,1.01795,1.51214,1.08909,8.24286e-05,8.24286e-05,8.24286e-05
15,45.7016,1.02541,2.17714,1.15627,0.91649,0.61138,0.8073,0.62692,1.01718,1.36893,1.09006,8.02308e-05,8.02308e-05,8.02308e-05
16,49.0934,1.01425,2.04121,1.1462,0.89016,0.71749,0.86348,0.66879,0.99045,1.19085,1.08249,7.8033e-05,7.8033e-05,7.8033e-05
17,52.6562,1.01473,1.9169,1.16283,0.91683,0.72744,0.8744,0.67924,0.9785,1.09534,1.07975,7.58352e-05,7.58352e-05,7.58352e-05
18,55.5508,1.09034,1.90741,1.18729,0.72534,0.84646,0.8733,0.6772,0.98031,1.02111,1.07611,7.36374e-05,7.36374e-05,7.36374e-05
19,58.1526,0.97927,1.76898,1.11212,0.77877,0.84154,0.85306,0.65276,0.98196,0.97567,1.07139,7.14396e-05,7.14396e-05,7.14396e-05
20,60.9412,0.9788,1.67423,1.12385,0.82764,0.85627,0.88031,0.68015,0.96965,0.93225,1.05881,6.92418e-05,6.92418e-05,6.92418e-05
21,63.4896,0.9932,1.58013,1.12591,0.81233,0.86319,0.88159,0.69016,0.96712,0.92019,1.05773,6.7044e-05,6.7044e-05,6.7044e-05
22,66.5937,1.03774,1.62468,1.15495,0.91618,0.79949,0.88096,0.69362,0.96483,0.90755,1.05948,6.48462e-05,6.48462e-05,6.48462e-05
23,69.0538,0.98538,1.53559,1.12515,0.8429,0.84051,0.88442,0.69176,0.96763,0.90665,1.05757,6.26484e-05,6.26484e-05,6.26484e-05
