epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.99956,1.42084,5.17726,1.35894,0,0,0,0,1.33833,4.64796,1.25398,8.88e-06,8.88e-06,8.88e-06
2,17.145,1.31714,5.05743,1.30314,0,0,0,0,1.21373,4.59977,1.15889,1.79359e-05,1.79359e-05,1.79359e-05
3,23.9441,1.22241,4.99032,1.24757,0,0,0,0,1.09141,4.57105,1.07434,2.60029e-05,2.60029e-05,2.60029e-05
4,30.643,1.08525,4.82674,1.20088,0,0,0,0,0.99581,4.53077,1.01513,3.30808e-05,3.30808e-05,3.30808e-05
5,37.4875,1.0556,4.64999,1.15435,0,0,0,0,0.91304,4.45563,0.97382,3.91697e-05,3.91697e-05,3.91697e-05
6,44.1816,1.0495,4.4544,1.13395,0,0,0,0,0.89352,4.32999,0.96411,4.42696e-05,4.42696e-05,4.42696e-05
7,51.1909,1.07621,4.22709,1.11421,0.30829,0.20495,0.23476,0.19691,0.91155,4.12955,0.96663,4.83805e-05,4.83805e-05,4.83805e-05
8,58.5474,1.12682,3.9736,1.19663,0.1812,0.52594,0.28741,0.22348,0.92821,3.81193,0.97047,5.15023e-05,5.15023e-05,5.15023e-05
9,66.2626,1.09152,3.74011,1.17727,0.1369,0.58356,0.306,0.2365,0.94655,3.42097,0.97644,5.36352e-05,5.36352e-05,5.36352e-05
10,73.4883,1.07762,3.60846,1.20955,0.32325,0.27451,0.3266,0.25289,0.95463,3.13456,0.98544,5.47791e-05,5.47791e-05,5.47791e-05
11,82.0693,0.90641,3.05523,1.09347,0.64652,0.38014,0.48026,0.381,0.9675,2.80481,1.00095,5.49339e-05,5.49339e-05,5.49339e-05
12,89.766,0.88522,2.90942,1.09295,0.73104,0.34214,0.55523,0.44416,0.98966,2.45596,1.0156,5.05605e-05,5.05605e-05,5.05605e-05
13,97.1762,0.83576,2.72217,1.04234,0.74454,0.34115,0.65689,0.5207,1.0011,2.21029,1.03803,4.5066e-05,4.5066e-05,4.5066e-05
14,104.488,0.86556,2.56132,1.0626,0.69105,0.50816,0.69324,0.54406,1.01065,2.03969,1.05916,3.95715e-05,3.95715e-05,3.95715e-05
15,111.715,0.86917,2.43274,1.05398,0.62407,0.6075,0.7373,0.57561,1.01322,1.89333,1.07093,3.4077e-05,3.4077e-05,3.4077e-05
16,118.955,0.88158,2.27952,1.05842,0.72378,0.62654,0.77473,0.60233,1.01418,1.70834,1.07097,2.85825e-05,2.85825e-05,2.85825e-05
17,126.341,0.84016,2.14696,1.04559,0.76228,0.65867,0.79571,0.61786,1.0159,1.62389,1.08012,2.3088e-05,2.3088e-05,2.3088e-05
18,133.848,0.83987,2.19073,1.04116,0.77214,0.70493,0.80943,0.62634,1.01733,1.53944,1.08498,1.75935e-05,1.75935e-05,1.75935e-05
19,141.229,0.86965,2.14715,1.03397,0.77915,0.68903,0.82343,0.63171,1.00763,1.45688,1.07989,1.2099e-05,1.2099e-05,1.2099e-05
20,149.003,0.84286,2.10079,1.04581,0.79995,0.66282,0.83074,0.63903,1.00497,1.4179,1.08444,6.6045e-06,6.6045e-06,6.6045e-06
