epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0554,1.48726,5.41261,1.60438,0,0,0,0,1.06492,4.54945,1.20748,3.59748e-05,3.59748e-05,3.59748e-05
2,39.3917,1.12623,4.84372,1.32622,0.10018,0.6695,0.18682,0.12293,1.05928,3.32701,1.13152,7.19224e-05,7.19224e-05,7.19224e-05
3,56.9223,1.12278,4.01744,1.35227,0.48254,0.3072,0.34925,0.20163,1.36386,2.38445,1.33394,0.000107144,0.000107144,0.000107144
4,74.562,1.12542,3.27616,1.33081,0.64132,0.48964,0.56117,0.31803,1.4343,1.97031,1.31945,0.000106733,0.000106733,0.000106733
5,92.422,1.09476,2.8089,1.33114,0.73821,0.67538,0.6725,0.37744,1.42037,1.43655,1.31113,0.000105644,0.000105644,0.000105644
6,109.846,1.11252,2.45841,1.3259,0.74439,0.68962,0.68433,0.36398,1.55042,1.40141,1.40421,0.000104555,0.000104555,0.000104555
7,127.236,1.045,2.18318,1.24263,0.83132,0.7086,0.75724,0.45849,1.30275,1.25887,1.22017,0.000103466,0.000103466,0.000103466
8,144.795,0.98324,1.99765,1.20331,0.76531,0.81103,0.82553,0.54222,1.16289,1.14093,1.14788,0.000102377,0.000102377,0.000102377
9,162.472,1.01388,1.96522,1.24144,0.84473,0.80403,0.8417,0.55824,1.09045,1.0854,1.13376,0.000101288,0.000101288,0.000101288
10,179.838,0.98186,1.77524,1.19724,0.81743,0.80148,0.85254,0.55369,1.17345,1.1507,1.14225,0.000100199,0.000100199,0.000100199
11,197.355,0.93026,1.7303,1.16518,0.85297,0.82953,0.87052,0.55598,1.18083,0.96293,1.14831,9.911e-05,9.911e-05,9.911e-05
12,214.689,0.95173,1.60076,1.18962,0.84313,0.84189,0.91006,0.63659,1.01616,0.895,1.07636,9.8021e-05,9.8021e-05,9.8021e-05
13,232.133,0.88905,1.5123,1.11129,0.89684,0.84431,0.87815,0.61408,1.03734,0.901,1.06983,9.6932e-05,9.6932e-05,9.6932e-05
14,249.565,0.89373,1.4788,1.12803,0.86202,0.87995,0.93083,0.63941,1.04696,0.89767,1.07897,9.5843e-05,9.5843e-05,9.5843e-05
15,266.918,0.91171,1.39462,1.136,0.89465,0.85292,0.91402,0.63248,1.05939,0.83598,1.08101,9.4754e-05,9.4754e-05,9.4754e-05
16,284.218,0.86443,1.32598,1.12891,0.83954,0.91236,0.93034,0.68139,0.92558,0.84169,1.02869,9.3665e-05,9.3665e-05,9.3665e-05
17,301.823,0.87641,1.33425,1.10498,0.90645,0.87388,0.95806,0.63333,1.2028,0.85473,1.13018,9.2576e-05,9.2576e-05,9.2576e-05
18,319.184,0.87109,1.29803,1.10366,0.86552,0.91214,0.94751,0.57276,1.34012,0.93714,1.19601,9.1487e-05,9.1487e-05,9.1487e-05
19,336.607,0.84591,1.24055,1.0999,0.93866,0.84403,0.93684,0.65678,1.02386,0.78228,1.06826,9.0398e-05,9.0398e-05,9.0398e-05
20,353.839,0.87183,1.26965,1.10356,0.85799,0.92116,0.93544,0.71071,0.82406,0.7838,0.99,8.9309e-05,8.9309e-05,8.9309e-05
21,371.195,0.83831,1.24368,1.10523,0.83396,0.91955,0.94208,0.69716,0.86626,0.72928,1.0172,8.822e-05,8.822e-05,8.822e-05
22,388.524,0.84718,1.16049,1.08111,0.85496,0.95934,0.94631,0.64103,1.12551,0.75874,1.10611,8.7131e-05,8.7131e-05,8.7131e-05
23,405.93,0.85535,1.12899,1.11316,0.88509,0.91056,0.9349,0.60788,1.18903,0.79672,1.10542,8.6042e-05,8.6042e-05,8.6042e-05
24,423.309,0.87296,1.11989,1.1024,0.89271,0.87353,0.92734,0.71609,0.78327,0.73395,0.98242,8.4953e-05,8.4953e-05,8.4953e-05
25,440.616,0.81741,1.09102,1.08084,0.88366,0.91894,0.93731,0.69578,0.87933,0.70964,1.01044,8.3864e-05,8.3864e-05,8.3864e-05
26,457.912,0.78887,1.06412,1.05665,0.90046,0.89789,0.94185,0.66323,1.06813,0.7226,1.06455,8.2775e-05,8.2775e-05,8.2775e-05
27,475.343,0.79122,1.03513,1.08271,0.87586,0.94378,0.95245,0.66067,1.00148,0.69634,1.04827,8.1686e-05,8.1686e-05,8.1686e-05
