epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2317,1.11734,5.05941,1.2134,0,0,0,0,0.71276,4.44763,0.96032,3.64228e-05,3.64228e-05,3.64228e-05
2,30.2036,0.9692,4.46021,1.1093,0.23307,0.59039,0.28979,0.22243,0.81525,3.42402,0.98694,7.22957e-05,7.22957e-05,7.22957e-05
3,46.3619,0.99121,3.39671,1.12511,0.62618,0.4746,0.52397,0.41415,0.82264,1.93505,0.99603,0.00010669,0.00010669,0.00010669
4,60.533,1.01093,2.60529,1.15579,0.65182,0.67427,0.70255,0.55296,0.80226,1.49833,0.99455,0.000105347,0.000105347,0.000105347
5,74.8503,0.9653,2.06547,1.12023,0.76157,0.75271,0.76711,0.59071,0.79858,1.1464,0.96093,0.00010313,0.00010313,0.00010313
6,89.02,0.93677,1.86013,1.10179,0.77005,0.80591,0.81119,0.63084,0.76841,1.05473,0.95157,0.000100912,0.000100912,0.000100912
7,103.563,0.90407,1.6513,1.07126,0.77347,0.86459,0.83175,0.66697,0.71432,0.92502,0.93092,9.86944e-05,9.86944e-05,9.86944e-05
8,117.717,0.84692,1.55038,1.06478,0.77341,0.85718,0.83776,0.67214,0.71929,0.90244,0.93138,9.64768e-05,9.64768e-05,9.64768e-05
9,132.797,0.83902,1.51372,1.06126,0.8325,0.85971,0.85581,0.6939,0.65408,0.8317,0.9031,9.42592e-05,9.42592e-05,9.42592e-05
10,146.779,0.79117,1.39317,1.01161,0.88492,0.88691,0.90923,0.73964,0.65231,0.81374,0.896,9.20416e-05,9.20416e-05,9.20416e-05
11,160.333,0.7668,1.30029,1.02122,0.87123,0.91198,0.92438,0.77882,0.60631,0.7313,0.89291,8.9824e-05,8.9824e-05,8.9824e-05
12,175.094,0.76435,1.27596,1.01525,0.90084,0.89824,0.93805,0.79243,0.60084,0.72002,0.88276,8.76064e-05,8.76064e-05,8.76064e-05
13,189.713,0.73241,1.21773,1.00109,0.90777,0.92074,0.94655,0.81558,0.55497,0.66482,0.86743,8.53888e-05,8.53888e-05,8.53888e-05
14,203.957,0.70889,1.16338,0.98081,0.90801,0.93519,0.94107,0.80997,0.53588,0.66628,0.87106,8.31712e-05,8.31712e-05,8.31712e-05
15,217.618,0.69346,1.15715,0.98269,0.89068,0.92181,0.94692,0.81604,0.53335,0.65317,0.85654,8.09536e-05,8.09536e-05,8.09536e-05
16,230.561,0.68608,1.12138,0.96854,0.91932,0.90793,0.96063,0.83365,0.54717,0.61825,0.85404,7.8736e-05,7.8736e-05,7.8736e-05
17,243.767,0.67759,1.07396,0.96914,0.90285,0.95495,0.95699,0.83811,0.51002,0.61293,0.84683,7.65184e-05,7.65184e-05,7.65184e-05
18,257.452,0.66652,1.06804,0.97355,0.89904,0.95028,0.95587,0.83571,0.5004,0.62324,0.84239,7.43008e-05,7.43008e-05,7.43008e-05
19,270.707,0.64676,1.02656,0.95141,0.92605,0.95877,0.97332,0.85953,0.49897,0.56382,0.83916,7.20832e-05,7.20832e-05,7.20832e-05
20,284.115,0.63169,1.03896,0.95545,0.9042,0.95961,0.96225,0.84614,0.5058,0.59745,0.84185,6.98656e-05,6.98656e-05,6.98656e-05
21,297.192,0.63907,1.00502,0.94938,0.93935,0.93298,0.96774,0.84341,0.50961,0.56136,0.84492,6.7648e-05,6.7648e-05,6.7648e-05
22,310.383,0.6237,1.00379,0.94929,0.93953,0.95446,0.97333,0.85706,0.50315,0.55079,0.84016,6.54304e-05,6.54304e-05,6.54304e-05
23,323.583,0.63251,0.97148,0.95356,0.93935,0.95931,0.97648,0.85669,0.49119,0.52862,0.8375,6.32128e-05,6.32128e-05,6.32128e-05
24,336.635,0.60724,0.94947,0.93474,0.93257,0.96444,0.97665,0.86621,0.47322,0.51483,0.8312,6.09952e-05,6.09952e-05,6.09952e-05
