epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6203,1.09393,3.04573,1.18114,0.53136,0.14518,0.41347,0.30036,0.85197,2.65428,1.00643,0.000361301,0.000361301,0.000361301
2,30.1447,1.04286,1.99694,1.12057,0.61247,0.57027,0.61606,0.44716,0.92515,1.78464,1.06371,0.000717148,0.000717148,0.000717148
3,42.9425,0.98702,1.66522,1.0804,0.627,0.72208,0.71018,0.50344,0.96276,1.65089,1.10319,0.00105833,0.00105833,0.00105833
4,55.6515,0.98795,1.55225,1.08683,0.78124,0.80115,0.83104,0.58271,0.91657,1.31651,1.04314,0.00104501,0.00104501,0.00104501
5,68.6266,0.9387,1.3885,1.05198,0.77766,0.69637,0.80017,0.59033,0.82006,1.21147,1.02547,0.00102301,0.00102301,0.00102301
6,81.1911,0.89989,1.30273,1.04858,0.77946,0.84387,0.88997,0.66822,0.83676,1.13034,1.02851,0.00100101,0.00100101,0.00100101
7,94.0652,0.90809,1.22599,1.04227,0.79649,0.87568,0.89706,0.70658,0.76328,1.05459,0.96339,0.000979013,0.000979013,0.000979013
8,106.771,0.85138,1.15017,1.01618,0.84624,0.82775,0.88633,0.69267,0.7373,0.94013,0.94884,0.000957015,0.000957015,0.000957015
9,119.199,0.84784,1.10938,1.01492,0.83764,0.8317,0.86184,0.66721,0.77734,0.9399,0.96727,0.000935018,0.000935018,0.000935018
10,132.111,0.79906,1.04365,0.98812,0.86658,0.85258,0.92076,0.75229,0.67805,0.85376,0.92689,0.00091302,0.00091302,0.00091302
11,145.086,0.78451,0.98228,0.99304,0.87063,0.93225,0.93626,0.74134,0.71694,0.75261,0.93786,0.000891022,0.000891022,0.000891022
12,157.802,0.79339,0.92787,0.99027,0.86431,0.87179,0.90656,0.73076,0.70285,0.78259,0.93755,0.000869024,0.000869024,0.000869024
13,170.564,0.76558,0.89429,0.98601,0.90862,0.88282,0.93826,0.74653,0.71075,0.74693,0.9217,0.000847026,0.000847026,0.000847026
14,182.836,0.71553,0.85627,0.96109,0.9138,0.9084,0.93108,0.76776,0.65651,0.73919,0.90959,0.000825029,0.000825029,0.000825029
15,195.933,0.71042,0.85606,0.96852,0.93041,0.94041,0.94806,0.78803,0.60502,0.65215,0.89161,0.000803031,0.000803031,0.000803031
16,208.844,0.7293,0.8154,0.95942,0.92899,0.94298,0.95574,0.80232,0.61096,0.62779,0.8795,0.000781033,0.000781033,0.000781033
17,222.022,0.70489,0.78448,0.9545,0.92217,0.96463,0.96015,0.81015,0.5727,0.59022,0.88338,0.000759035,0.000759035,0.000759035
18,235.158,0.68669,0.74782,0.96096,0.92026,0.94316,0.95928,0.80952,0.6348,0.59519,0.88711,0.000737037,0.000737037,0.000737037
19,248.404,0.65994,0.7254,0.93593,0.90955,0.94481,0.96172,0.80185,0.6163,0.59602,0.88888,0.00071504,0.00071504,0.00071504
20,260.771,0.66105,0.72934,0.94663,0.91957,0.93747,0.93655,0.79241,0.57435,0.60656,0.87296,0.000693042,0.000693042,0.000693042
21,273.404,0.66063,0.70294,0.9418,0.92046,0.94264,0.95319,0.81012,0.57927,0.55102,0.87432,0.000671044,0.000671044,0.000671044
22,285.752,0.63938,0.69323,0.94033,0.91177,0.92884,0.95363,0.8177,0.56776,0.55764,0.86673,0.000649046,0.000649046,0.000649046
23,298.322,0.65022,0.67722,0.94223,0.92562,0.94355,0.96115,0.83274,0.52697,0.52703,0.85989,0.000627048,0.000627048,0.000627048
24,311.295,0.61551,0.64148,0.9245,0.93013,0.95543,0.9675,0.83795,0.5258,0.51177,0.86133,0.000605051,0.000605051,0.000605051
25,323.233,0.63331,0.6414,0.93776,0.93404,0.93972,0.97052,0.84729,0.50204,0.5013,0.85659,0.000583053,0.000583053,0.000583053
26,336.015,0.59784,0.63893,0.92803,0.92164,0.95244,0.96872,0.84472,0.48598,0.50342,0.85072,0.000561055,0.000561055,0.000561055
27,348.741,0.60991,0.60871,0.92088,0.94439,0.96455,0.97174,0.84251,0.50892,0.47653,0.84495,0.000539057,0.000539057,0.000539057
28,361.843,0.60162,0.59929,0.92777,0.95731,0.9646,0.97495,0.84967,0.51553,0.45056,0.84932,0.000517059,0.000517059,0.000517059
29,374.435,0.58986,0.6095,0.92065,0.95822,0.9627,0.97669,0.86521,0.4965,0.46646,0.85142,0.000495062,0.000495062,0.000495062
