epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0237,1.14348,5.05156,1.21894,0,0,0,0,0.79775,4.46534,1.04279,3.61591e-05,3.61591e-05,3.61591e-05
2,34.1136,0.99623,4.39469,1.11046,0.50628,0.26734,0.25407,0.19477,0.87974,3.0973,1.04928,7.17105e-05,7.17105e-05,7.17105e-05
3,48.9309,1.03065,3.41575,1.12792,0.6336,0.55252,0.51357,0.40075,0.87055,1.87235,1.0675,0.000105797,0.000105797,0.000105797
4,63.5101,1.00935,2.49532,1.1289,0.75313,0.59753,0.6274,0.48448,0.88121,1.46328,1.08492,0.000104407,0.000104407,0.000104407
5,78.0134,1.00541,2.19861,1.14567,0.79481,0.64381,0.79888,0.60444,0.83545,1.17282,1.04328,0.000102209,0.000102209,0.000102209
6,92.4299,0.93043,1.85448,1.09192,0.87423,0.83906,0.89461,0.71017,0.76414,0.94765,1.0233,0.000100011,0.000100011,0.000100011
7,107.191,0.92945,1.68765,1.09269,0.88484,0.90665,0.92522,0.72512,0.75129,0.92045,1.01712,9.78132e-05,9.78132e-05,9.78132e-05
8,121.74,0.88655,1.50919,1.07113,0.86963,0.92899,0.9213,0.72572,0.75012,0.80728,1.0137,9.56154e-05,9.56154e-05,9.56154e-05
9,136.716,0.84841,1.42075,1.04355,0.89471,0.91944,0.92646,0.74958,0.67882,0.77722,0.9887,9.34176e-05,9.34176e-05,9.34176e-05
10,151.187,0.79341,1.33347,1.02264,0.92142,0.9121,0.94319,0.75138,0.6636,0.73763,0.97456,9.12198e-05,9.12198e-05,9.12198e-05
11,165.681,0.76245,1.28603,1.00699,0.91248,0.93974,0.96265,0.78683,0.64067,0.68871,0.95692,8.9022e-05,8.9022e-05,8.9022e-05
12,180.373,0.76719,1.26004,1.00621,0.89844,0.96768,0.96061,0.79265,0.61096,0.64792,0.94039,8.68242e-05,8.68242e-05,8.68242e-05
13,195.044,0.73791,1.15025,0.98669,0.92119,0.93912,0.95454,0.77585,0.60173,0.6591,0.93751,8.46264e-05,8.46264e-05,8.46264e-05
14,209.699,0.71656,1.14396,0.9826,0.94128,0.96745,0.96212,0.79345,0.58598,0.63185,0.9253,8.24286e-05,8.24286e-05,8.24286e-05
15,224.207,0.72375,1.13959,0.98434,0.93788,0.95376,0.96563,0.80749,0.56782,0.62927,0.91121,8.02308e-05,8.02308e-05,8.02308e-05
16,238.824,0.69962,1.10089,0.97418,0.92657,0.94683,0.96812,0.81053,0.56621,0.61887,0.90975,7.8033e-05,7.8033e-05,7.8033e-05
17,253.507,0.69326,1.10545,0.97981,0.92154,0.97367,0.96334,0.7986,0.57529,0.62578,0.91223,7.58352e-05,7.58352e-05,7.58352e-05
18,267.964,0.67788,1.0418,0.95868,0.93512,0.95792,0.97234,0.82164,0.5396,0.5802,0.89674,7.36374e-05,7.36374e-05,7.36374e-05
19,282.39,0.66833,1.01269,0.95953,0.94637,0.94678,0.9687,0.8096,0.55903,0.58635,0.90311,7.14396e-05,7.14396e-05,7.14396e-05
20,296.773,0.66823,1.03639,0.96776,0.91305,0.95167,0.96861,0.81711,0.54659,0.56533,0.89743,6.92418e-05,6.92418e-05,6.92418e-05
21,311.341,0.65748,1.01522,0.95891,0.92605,0.96907,0.96731,0.8224,0.53326,0.55258,0.89561,6.7044e-05,6.7044e-05,6.7044e-05
22,326.047,0.66685,0.98552,0.95879,0.91169,0.96719,0.9593,0.81168,0.53495,0.56239,0.89102,6.48462e-05,6.48462e-05,6.48462e-05
23,340.67,0.64154,0.97439,0.95049,0.94566,0.96311,0.97171,0.81984,0.5445,0.53833,0.89649,6.26484e-05,6.26484e-05,6.26484e-05
24,355.229,0.63308,0.95743,0.95195,0.91868,0.97267,0.96841,0.81895,0.52881,0.52677,0.89167,6.04506e-05,6.04506e-05,6.04506e-05
25,369.669,0.62584,0.92227,0.94309,0.92144,0.97304,0.96593,0.82029,0.52085,0.53109,0.88908,5.82528e-05,5.82528e-05,5.82528e-05
26,384.137,0.62424,0.9276,0.95028,0.90622,0.98458,0.96634,0.81517,0.53468,0.52317,0.89223,5.6055e-05,5.6055e-05,5.6055e-05
27,398.674,0.64248,0.9197,0.95033,0.9124,0.96686,0.97082,0.83035,0.51703,0.52637,0.88668,5.38572e-05,5.38572e-05,5.38572e-05
28,413.028,0.59929,0.90086,0.93362,0.93587,0.95251,0.97332,0.83345,0.51251,0.52406,0.88676,5.16594e-05,5.16594e-05,5.16594e-05
29,427.595,0.58238,0.87496,0.93057,0.90737,0.96088,0.96901,0.83925,0.50038,0.50237,0.88249,4.94616e-05,4.94616e-05,4.94616e-05
30,442.153,0.59855,0.87985,0.93875,0.9004,0.95632,0.96501,0.82444,0.51353,0.51087,0.887,4.72638e-05,4.72638e-05,4.72638e-05
31,456.602,0.60348,0.87848,0.94054,0.90479,0.95595,0.96098,0.83861,0.49186,0.49504,0.88067,4.5066e-05,4.5066e-05,4.5066e-05
32,471.341,0.58754,0.8712,0.93378,0.91176,0.94554,0.96324,0.83693,0.4981,0.49834,0.88059,4.28682e-05,4.28682e-05,4.28682e-05
33,486.105,0.58175,0.84729,0.92813,0.90266,0.96617,0.96345,0.82185,0.52599,0.50371,0.88695,4.06704e-05,4.06704e-05,4.06704e-05
34,500.87,0.5815,0.82808,0.93093,0.90815,0.98307,0.96614,0.83663,0.48876,0.48612,0.87596,3.84726e-05,3.84726e-05,3.84726e-05
35,515.485,0.56592,0.8563,0.9245,0.93678,0.93745,0.95948,0.82285,0.49667,0.48749,0.87995,3.62748e-05,3.62748e-05,3.62748e-05
36,530.314,0.56209,0.82688,0.9264,0.93578,0.9382,0.95661,0.81666,0.48756,0.48232,0.87644,3.4077e-05,3.4077e-05,3.4077e-05
37,545.031,0.58011,0.82147,0.92745,0.94366,0.93519,0.9599,0.8341,0.48982,0.48294,0.87316,3.18792e-05,3.18792e-05,3.18792e-05
38,559.484,0.58636,0.82657,0.93647,0.94257,0.93533,0.95979,0.83475,0.48138,0.48041,0.86947,2.96814e-05,2.96814e-05,2.96814e-05
39,573.803,0.56767,0.81211,0.92793,0.91979,0.97301,0.95918,0.83021,0.49058,0.46994,0.87124,2.74836e-05,2.74836e-05,2.74836e-05
40,588.209,0.557,0.79239,0.9202,0.93655,0.9606,0.96384,0.83143,0.48071,0.45974,0.87113,2.52858e-05,2.52858e-05,2.52858e-05
41,603.54,0.48205,0.84867,0.88066,0.93553,0.9437,0.9589,0.82278,0.49418,0.50047,0.87597,2.3088e-05,2.3088e-05,2.3088e-05
42,618.177,0.46063,0.83071,0.86778,0.95229,0.93206,0.96438,0.83256,0.49213,0.46904,0.87233,2.08902e-05,2.08902e-05,2.08902e-05
43,632.662,0.4585,0.7997,0.87377,0.91639,0.97982,0.96437,0.83261,0.48333,0.45745,0.87124,1.86924e-05,1.86924e-05,1.86924e-05
44,647.121,0.45012,0.78704,0.87752,0.92835,0.95385,0.96369,0.82814,0.48736,0.45949,0.87153,1.64946e-05,1.64946e-05,1.64946e-05
45,661.445,0.46175,0.78001,0.86478,0.95649,0.92939,0.96663,0.83638,0.47885,0.45256,0.8681,1.42968e-05,1.42968e-05,1.42968e-05
46,675.899,0.44214,0.77116,0.86275,0.93709,0.93922,0.96316,0.83643,0.4722,0.45547,0.86693,1.2099e-05,1.2099e-05,1.2099e-05
47,690.17,0.45199,0.76882,0.86191,0.93849,0.93938,0.9646,0.84433,0.47098,0.45266,0.86561,9.9012e-06,9.9012e-06,9.9012e-06
48,705.332,0.44754,0.76834,0.86583,0.95183,0.9304,0.96758,0.84415,0.47787,0.45142,0.86675,7.7034e-06,7.7034e-06,7.7034e-06
49,720.166,0.44277,0.76548,0.86093,0.95203,0.93127,0.96838,0.84488,0.47441,0.4452,0.8665,5.5056e-06,5.5056e-06,5.5056e-06
50,735.326,0.44329,0.75055,0.87049,0.94082,0.94169,0.96803,0.84383,0.47561,0.44555,0.86616,3.3078e-06,3.3078e-06,3.3078e-06
